Name,Country,Sector,Company
Paulo Sousa,Brasil,Agronegocios,Cargill Brasil
Paz Austin,México,Lobby,Consejo Mexicano Vitivinícola
Pedro Alcântara Rego de Lima,Brasil,Alimentos y Bebidas,3Corações
Pedro Heilbron,Panamá,Aerolíneas,Copa Airlines
Pedro Moreira Salles,Brasil,Finanzas,Itaú Unibanco
Pedro Thompson,Brasil,Salud,Alliar
Pedro Zemel,Brasil,Comercio,Centauro
Pedro de Garay,México,Finanzas,GBM
Pedro de Godoy Bueno,Brasil,Salud,Grupo Dasa
Pierpaolo Barbieri,Argentina,Fintech,Ualá
Preto Zezé,Brasil,CSO,Cufa
Rachel Maia,Brasil,Consultoría,RM Consulting
Rafael Steinhauser,Brasil,Finanzas,Alpha Capital
Ramón Laguarta,EEUU,Alimentos y Bebidas,PepsiCo
Ramón Mendiola,Costa Rica,Alimentos y Bebidas,FIFCO
Rayssa “Fadinha” Leal,Brasil,Deportes,Skater
Raúl Alemán,Panamá,Finanzas,Banco General
Regina Ferreira,Brasil,Medios y Entretenimiento,Hutu Casting
Reinaldo Rabelo,Brasil,Fintech,Mercado Bitcoin
Renato Ejnisman,Brasil,Finanzas,Bradesco
Ricardo Amper,México,Tecnología,Incode
Ricardo Faria,Brasil,Agronegocios,Granja Faria
Ricardo Martin Bringas,México,Comercio,Soriana
Ricardo Poma,El Salvador,Holding diversificado,Grupo Poma
Ricardo Ramos,Chile,Minería,SQM
Ricardo Rodríguez,Venezuela,Energía,Shell Argentina
Ricardo Salinas Pliego,México,Holding,Grupo Salinas
Ricardo Villadiego,Colombia,Tecnología,Lumu
Ricardo Weder,México,E-Commerce,Jüsto
Ricaurte Vásquez,Panamá,Navíos y Puertos,Canal de Panamá
Rita Lobo,Brasil,Medios y Entretenimiento,Panelinha
Roberto Fulcherberguer,Brasil,Comercio,Via
Roberto Jatahy,Brasil,Comercio,Grupo Soma
Roberto Kriete,El Salvador,Aviación,Avianca
Roberto Monteiro,Brasil,Petróleo y Gas,PetroRio
Roberto Nobile,Argentina,Telecomunicaciones,Telecom Argentina
Roberto Sallouti,Brasil,Finanzas,BTG Pactual
Roberto Setubal,Brasil,Finanzas,Itaú Unibanco
Roberto Valério,Brasil,Educación,Cogna
Rogelio Zambrano Lozano,México,Construcción,Cemex
Ronald Wright Durán Ballén,Ecuador,Comercio,Corporación Favorita
Rosana Negrini,Argentina,Minería y Metales,Agrometal
Rosario Bazán,Perú,Agro,DanPer
Rosángela Guerra,México,Automotriz,"Ford Puerto Rico, Centroamérica y el Caribe"
Roy Benchimol,Brasil,Farmacéutica,Janssen
Rubens Menin,Brasil,Bienes Raices,MRV
Rubens Ometto,Brasil,Energía y Transporte,Cosan
Salua García Fakih,Colombia,Servicios de Recursos Humanos,Symplifica
Samuel Dyer Coriat,Perú,Holding,Grupo Dyer
